"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Solanum aviculare",2,2,2,225,150,300,105,105,105,17.5,15,20,"NA","NA","NA","NA","NA","NA",7.5,7,8,12.5,10,15,"SC","Polyploid",23,"Perennial,  Short-lived Perennial","Shrub","Woody, Woody base","Simple","pink, blue, purple","Berry","Red, Orange"
"Solanum aviculare var. latifolium",2,2,2,225,150,300,210,210,210,17.5,15,20,"NA","NA","NA","NA","NA","NA",7.5,7,8,12.5,10,15,,"Polyploid",23,"Perennial","Shrub","Woody, Woody base","Simple","pink, blue, purple","Berry","Orange"
"Solanum axillifolium",3,1,5,220,140,300,80,40,120,9,7.5,10.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12.5,11,14,,"Diploid",12,,"Shrub, Tree",,,"white","Berry","Yellow"
"Solanum ayacuchense",0.6,0.5,0.7,200,200,200,"NA","NA","NA",10.625,10,11.25,"NA","NA","NA","NA","NA","NA",7.125,6.5,7.5,23.75,20,25,"SI","Diploid",12,"Perennial","Herb","Herbaceous","Compound","blue, purple, white, light blue, light purple","Berry",
"Solanum bahamense",2,2,2,200,200,200,"NA","NA","NA","NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA",7,6,8,,"Diploid","12, 24","Perennial","Shrub","Woody","Simple","white",,"Red"
"Solanum bahamense var. bahamense",4,4,4,85,50,120,"NA","NA","NA","NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA",5.5,4,7,,"Diploid",12,,"Shrub, Tree",,"Simple","pink, light purple, purple","Berry","Red, Orange"
"Solanum bahamense var. luxurians","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA",5.5,4,7,,"Diploid",12,,"Shrub, Tree",,"Simple","blue, purple","Berry","Red"
"Solanum bahianum",1,0.5,1.5,172.5,135,210,75,60,90,4,3.5,4.5,"NA","NA","NA","NA","NA","NA",3,3,3,12.5,10,15,,,,,"Subshrub, Shrub",,"Simple","white","Berry","Green"
"Solanum barbeyanum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"Perennial","Vine",,,,,
"Solanum barbisetum",1,1,1,200,160,240,155,120,190,5.5,5,6,"NA","NA","NA",7,7,7,9,9,9,"NA","NA","NA",,,,,"Herb, Subshrub",,"Simple","blue, purple","Berry",
"Solanum barbulatum",3.25,1.5,5,77.5,25,130,22.5,8,37,5,4,6,"NA","NA","NA","NA","NA","NA",5.5,5,6,12.5,10,15,,,,,"Shrub",,"Simple","white","Berry","Green"
"Solanum basendopogon",2.6,2.5,3,80,80,80,35,35,35,8.5,7,12.5,"NA","NA","NA",7.6,7.6,7.6,6.62,5,6.9,17.5,15,20,"SI","Diploid",12,"Perennial","Shrub","Woody","Simple, Compound","light purple, purple, blue","Berry","Green, White"
"Solanum beaugleholei",1.5,1.5,1.5,70,60,80,35,30,40,22.525,17.5,26.3,"NA","NA","NA","NA","NA","NA",12.7,12.7,12.7,30,25,35,,"Diploid",12,,"Shrub",,"Simple","purple","Berry","Yellow"
"Solanum bellum",2,1,3,120,80,160,35,20,50,2.25,2,2.5,"NA","NA","NA","NA","NA","NA",2,1,3,10,10,10,,,,,"Shrub, Tree",,"Simple","white","Berry","Green"
"Solanum berthaultii",0.83,0.2,2,212.5,150,400,90,90,90,13.5833333333,9,17.5,"NA","NA","NA",12,10,14,12.2,10,16,23.3333333333,15,25,"SI","Diploid",12,"Perennial","Herb","Herbaceous","Compound","white, blue, light purple, pink, light blue, purple, cream, light yellow","Berry","White, Green"
"Solanum betaceum",3.75,1.5,7,275,150,400,207.5,80,350,11.875,10,15,2.5,2,3,9.5833333333,7,12,5.6666666667,5,6,38,6,100,"SC","Diploid",12,"Perennial","Shrub, Tree",,"Simple","pink, light purple, white","Berry","Red, Orange, Yellow, Purple/Violet/Black"
"Solanum bicolor",2,1,3,155,120,190,60,40,80,5,4,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA",7,6,8,,,,,"Shrub, Tree",,,"white","Berry",
"Solanum boldoense","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum boliviense",0.2875,0.05,0.45,147.8571428571,15,250,28.5,10,40,13.7,10,17.5,"NA","NA","NA",7.6666666667,5,10,8.5,6,11,18.9285714286,10,25,"SI","Diploid",12,"Perennial","Herb","Herbaceous","Simple, Compound","blue, purple, light blue, light purple, white","Berry","White, Green, Yellow"
"Solanum bombycinum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Polyploid",24,"Perennial","Herb","Herbaceous","Compound","purple",,
"Solanum bonariense","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Solanum brachyantherum",0.75,0.5,1,48,16,80,37,12,62,3,2.5,3.5,0.875,0.75,1,3,2.5,3.5,2.9,2.8,3,5,4,6,,,,"Annual, Perennial","Herb",,"Compound","blue, light purple, purple","Berry","Green, Purple/Violet/Black"
"Solanum brevicaule",0.4686666667,0.1,1.5,164.375,50,350,72.0833333333,30,130,12.1818181818,5,20,"NA","NA","NA",8.125,4,15,9.2173913043,1,12,15.9285714286,7,25,"SI, SC","Diploid","12, 24, 36","Perennial","Herb","Herbaceous","Compound","light blue, blue, light purple, purple, white, yellow, green, pink","Berry","Green, Purple/Violet/Black"
"Solanum brevifolium","NA","NA","NA",50,50,50,"NA","NA","NA",9.2,9.2,9.2,"NA","NA","NA",9,8,10,8,8,8,"NA","NA","NA","SI","Diploid",12,"Perennial","Vine","Woody","Simple, Compound","white, purple",,
"Solanum brevipedicellatum",7,2,12,320,240,400,180,100,260,8.5,7,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",11,11,11,,"Diploid",12,,"Shrub, Tree",,,"white, blue, purple","Berry","Yellow"
