"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Jaltomata ventricosa",1,1,1,65,65,65,45,45,45,6.625,6,7.25,9,8,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial","Shrub","Woody","Simple","white, yellow","Berry","Red, Orange"
"Jaltomata viridiflora",2,2,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16,13,19,"SC","Diploid",12,"Perennial","Herb, Shrub","Woody","Simple","white, light yellow, green","Berry","Red, Orange"
"Jaltomata weberbaueri",2,2,2,"NA","NA","NA","NA","NA","NA",30,30,30,"NA","NA","NA","NA","NA","NA","NA","NA","NA",16.8,14,19.6,"SC",,,"Perennial","Shrub, Vine","Woody, Woody base","Simple","blue, purple",,
"Jaltomata yacheri",1.5,1.5,1.5,80,80,80,46,46,46,9.5,9,10,10.5,8,13,"NA","NA","NA",17.5,15,20,11,11,11,"SC",,,"Perennial",,"Woody, Woody base","Simple","blue, purple",,"Orange"
"Jaltomata yungayensis","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC",,,"Perennial",,"Woody",,,,
"Juanulloa mexicana","NA","NA","NA",150,100,200,67.5,35,100,"NA","NA","NA",42.5,35,50,4,4,4,37.5,35,40,20,20,20,,,,,"Shrub, Vine",,"Simple",,"Berry",
"Larnax andersonii",1.25,0.5,2,77.5,45,110,27.5,15,40,"NA","NA","NA",3.05,2,4.5,4.9,4.5,5.3,3.25,2,4,8.35,7.2,9.5,,,,"Perennial","Shrub","Woody base",,"cream, yellow, green, blue, purple","Berry","Orange"
"Larnax darcyana",2,2,2,60,30,90,33,14,52,"NA","NA","NA",5.7,2,10,6.35,5.5,7.2,5,4.5,5.5,9.5,8,11,,,,,"Shrub",,,"yellow, green","Berry","Orange"
"Larnax dilloniana",1.75,0.5,3,90,48,132,47.5,28,67,"NA","NA","NA",3,1.5,4.5,4.65,3,6.3,4,3,5,8.5,7,10,,,,,"Shrub",,,"green, blue, purple","Berry","Orange"
"Larnax glabra",2.4,0.8,4,77.5,30,125,32.5,15,50,"NA","NA","NA",5.5,3.5,7.5,6.15,4,8.3,7,5,9,7.75,6,9.5,,,,,"Shrub",,,"green, purple","Berry","Orange"
"Larnax grandiflora",1,0.5,1.5,67.5,30,105,35,20,50,"NA","NA","NA",11.25,2,20,17,17,17,5,5,5,"NA","NA","NA",,,,,"Shrub",,,"cream, green, blue, purple",,
"Larnax harlingiana",1.75,1,2.5,82.5,40,125,39,20,58,"NA","NA","NA",4.15,3.8,4.5,7.15,6.8,7.5,5,4,6,12.5,12,13,,,,,"Shrub",,,"white, green","Berry",
"Larnax hawkesii",1.75,0.5,3,89,45,133,52.5,25,80,"NA","NA","NA",2.85,2.2,3.5,4.75,4,5.5,2.75,2,3.5,10.5,8,13,,,,,"Shrub",,,"white, green, purple","Berry",
"Larnax lutea",0.9,0.8,1,64,45,83,19,8,30,"NA","NA","NA",3.25,2.5,4,8.9,6.8,11,6,5.5,6.5,8.6,7.2,10,,,,,"Herb","Woody base",,"light yellow, green","Berry","Orange"
"Larnax nieva",1.75,0.5,3,106,55,157,45.5,23,68,"NA","NA","NA",1.75,1.4,2.1,3,2.5,3.5,4.5,3.5,5.5,11.25,9.5,13,,,,,"Shrub",,,"green","Berry","White, Green"
"Larnax parviflora",2.65,0.3,5,70,25,115,27.5,10,45,"NA","NA","NA",2.8,1.3,4.8,2.25,2,2.5,3.85,3.5,4.2,5,5,5,,,,,"Shrub, Tree",,,"light yellow","Berry","Purple/Violet/Black, Orange, Green"
"Larnax peruviana",3,3,3,147,54,240,48.5,17,80,"NA","NA","NA",3,2,4,3.05,2.3,3.8,3.5,2.5,4.5,8.5,6.5,10.5,,,,,"Shrub",,,"white, green, purple","Berry","Orange"
"Larnax psilophyta",1.5,1,2,40.75,23,50,16,10,20,"NA","NA","NA",2.15,1.5,2.8,3.65,2.8,4.5,4.5,3,6,6.35,5.5,7.2,,,,"Perennial","Shrub","Woody base",,"cream, light yellow, green","Berry","Orange"
"Larnax purpurea",1,0.5,1.5,132.5,85,180,61.5,33,90,"NA","NA","NA",3,2.5,3.5,4.65,3,6.3,4.15,3.8,4.5,11.9,9.5,14.3,,,,,"Shrub",,,"white, cream, yellow, blue, purple","Berry","Orange"
"Larnax sachapapa",2.65,0.3,5,92.5,30,155,44,18,70,"NA","NA","NA",3.8,2.6,5,11.5,6,17,5,3,7,9.25,6.5,12,,,,,"Shrub, Tree",,,"cream, yellow, green, purple","Berry","Yellow, Green"
"Larnax sagasteguii",2.3,0.6,4,111.5,30,193,44,10,78,"NA","NA","NA",3.25,2.5,4,8.75,7.5,10,5.25,4.5,6,12.5,10,15,,,,,"Shrub",,,"white, light yellow, green, purple","Berry","Orange"
"Larnax steyermarkii",0.45,0.3,0.6,40,30,50,5.5,3,8,"NA","NA","NA",2.85,2.2,3.5,9,8,10,4.5,4,5,5.75,5.5,6,,,,,"Herb","Woody base",,"yellow, light purple, brown","Berry","Purple/Violet/Black"
"Larnax subtriflora",1.5,1,2,105,43,167,49,23,75,"NA","NA","NA",3.6,2.7,4.5,8,7,9,4.5,4,5,11.25,8.5,14,,,,,"Shrub",,,"light yellow, green","Berry","Orange"
"Larnax suffruticosa",2.3,0.6,4,91,32,150,35,10,60,"NA","NA","NA",4.25,2.5,6,7.85,6,9.7,5.5,5,6,8.75,7,10.5,,,,,"Shrub",,,"light yellow, yellow, green","Berry","Orange"
"Larnax sylvarum",2.05,0.6,3.5,68.5,27,110,25,10,40,"NA","NA","NA",3.8,3,4.6,4.15,3,5.3,4.5,4,5,5.85,4.5,7.2,,,,"Perennial","Shrub","Woody",,"green, purple","Berry","Orange"
"Latua pubiflora","NA","NA","NA",60,60,60,"NA","NA","NA","NA","NA","NA",37.5,35,40,"NA","NA","NA","NA","NA","NA",20,20,20,,"Diploid",9,"Perennial","Shrub","Woody","Simple","red","Berry","Yellow, Green"
"Leptoglossis linifolia",0.21,0.12,0.4,12.5,5,20,2.75,1.5,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",10,"Perennial",,"Herbaceous",,"cream, yellow, light purple, purple","Capsule",
"Leptoglossis schwenckioides","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",10,"Perennial",,"Herbaceous",,,,
"Leucophysalis grandiflora","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Polyploid",24,,,,,,,
"Leucophysalis nana","NA","NA","NA",32.5,15,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11,10,12,,"Diploid",12,"Perennial",,,"Simple","white","Berry",
"Lycianthes acapulcensis",0.3,0.1,0.5,82.5,35,130,40,20,60,17.5,10,25,2,1.5,2.5,"NA","NA","NA",11.5,9,14,32.5,15,50,,"Diploid",12,"Perennial","Herb",,,"white, red, green, blue, purple",,"Blue, Purple/Violet/Black"
"Lycianthes acutifolia",1.25,0.5,2,60,50,70,37.5,15,60,10,5,15,11.5,8,15,"NA","NA","NA",7.25,7,7.5,8.5,4,13,,,,,"Subshrub",,"Simple","white","Berry","Orange, Yellow"
"Lycianthes amatitlanensis","NA","NA","NA",185,140,230,62.5,40,85,"NA","NA","NA",7.5,6,9,"NA","NA","NA",5.5,5,6,7,6,8,,,,,"Subshrub",,"Simple","white","Berry","Red"
"Lycianthes arrazolensis",0.9,0.8,1,75,55,95,35,25,45,10,10,10,1.75,1.5,2,"NA","NA","NA",7,7,7,6.5,6,7,,"Diploid",12,,"Shrub","Woody base",,"white","Berry","Red"
"Lycianthes asarifolia","NA","NA","NA",65,30,100,70,40,100,11.25,10,12.5,1.25,1,1.5,"NA","NA","NA",5.5,5,6,17.5,8,25,"SI",,,"Perennial","Herb","Herbaceous","Simple","white, light yellow, blue, purple","Berry","Red, Orange"
"Lycianthes banahaensis",3,2,4,105,65,145,38.5,27,50,2.5,2.5,2.5,1,1,1,4,4,4,1,1,1,13.5,11,16,,,,,"Shrub",,,"yellow","Berry",
"Lycianthes biflora",0.9,0.6,1,105,60,130,43.75,20,65,7.125,5,10,1.375,1,2,7.375,4.5,11,7,5,9,7.75,6,9,,"Polyploid",24,,"Shrub",,,"white, light blue, light purple","Berry","Red"
"Lycianthes biformifolia","NA","NA","NA",76,55,97,30,20,40,8,7,9,1,1,1,6.5,5,8,"NA","NA","NA","NA","NA","NA",,,,,"Shrub",,,"blue, purple","Berry",
"Lycianthes bigeminata",0.675,0.35,1,125,65,185,47.5,25,70,5.75,5.5,6,1,1,1,5.5,5.5,5.5,4.5,4.5,4.5,8,7,9,,,,,,"Woody base",,,"Berry",
"Lycianthes bimensis","NA","NA","NA",150,135,165,72.5,65,80,"NA","NA","NA","NA","NA","NA",6,6,6,"NA","NA","NA","NA","NA","NA",,,,,"Shrub",,,"light purple",,
"Lycianthes brachyloba","NA","NA","NA",62.5,45,80,8.5,4,13,6,6,6,1.2,1.2,1.2,6,6,6,6.5,6.5,6.5,5,4,6,,,,,"Shrub",,,,"Berry",
"Lycianthes campyloclada","NA","NA","NA",77.5,55,100,34,25,43,10.5,10,11,1.75,1.5,2,"NA","NA","NA",9,9,9,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes ceratocalycia","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,12.5,13.5,2,2,2,11,11,11,8.5,8.5,8.5,"NA","NA","NA",,,,,"Shrub",,,"blue, purple",,
"Lycianthes chrysothrix","NA","NA","NA",77.5,65,90,41,32,50,8,8,8,1,1,1,"NA","NA","NA",4.5,4.5,4.5,8.5,8,9,,,,,"Shrub",,,,"Berry",
"Lycianthes ciliolata",0.4,0.2,0.6,80,20,140,40,10,70,8.44,2.38,14.5,2,2,2,"NA","NA","NA",10.5,9,12,26.5,14,39,"SI","Diploid",12,"Perennial","Herb","Herbaceous",,"green, blue, light purple, purple",,"Purple/Violet/Black"
"Lycianthes coffeifolia","NA","NA","NA",115,105,125,51,47,55,7.75,7.5,8,1.25,1,1.5,6,6,6,"NA","NA","NA",9,8,10,,,,,"Shrub",,,"white","Berry",
"Lycianthes cyathocalyx","NA","NA","NA",65,50,80,30.5,25,36,8,8,8,1.5,1.5,1.5,"NA","NA","NA",5,5,5,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes dejecta",0.5,0.5,0.5,82.5,35,130,48.5,22,75,15,9.5,20.5,1.75,1.5,2,"NA","NA","NA",9.25,7,11.5,28,17,39,,"Diploid",12,"Perennial","Herb",,,"white, red, green, purple",,"White, Green, Purple/Violet/Black"
"Lycianthes denticulata",0.875,0.75,1,137.5,75,200,47.5,30,65,8,8,8,2,2,2,7,7,7,"NA","NA","NA",6.5,6,7,,,,,,"Herbaceous",,"white","Berry","Purple/Violet/Black"
"Lycianthes dombeyi","NA","NA","NA",24.5,15,34,19.5,12,27,11.25,10,12.5,1.25,1,1.5,"NA","NA","NA",4,4,4,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes ecuadorensis",3,3,3,112.5,100,125,55,45,65,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8,8,8,,,,,"Shrub",,,,"Berry",
"Lycianthes fasciculata",3,3,3,90,50,130,39,28,50,9.5,9,10,1.5,1.5,1.5,"NA","NA","NA",4.5,4.5,4.5,8.5,8,9,,,,,"Shrub",,,"white, yellow","Berry","Red"
"Lycianthes ferruginea","NA","NA","NA",77,34,120,40,20,60,"NA","NA","NA","NA","NA","NA","NA","NA","NA",6.5,6,7,15,10,20,,,,,"Shrub, Vine",,"Simple","white, green","Berry","Red, Orange"
"Lycianthes floccosa","NA","NA","NA",77.5,60,95,34.5,32,37,8.75,8.5,9,1.75,1.5,2,8,8,8,9,9,9,"NA","NA","NA",,,,,"Shrub",,,,"Berry",
"Lycianthes fugax",1,1,1,37.5,20,55,11.5,8,15,12.5,12.5,12.5,1.5,1.5,1.5,"NA","NA","NA",10,10,10,9,8,10,,,,,"Shrub",,,"white","Berry",
"Lycianthes furcatistellata","NA","NA","NA",77.5,55,100,40,25,55,7,7,7,1.5,1.5,1.5,"NA","NA","NA",8,8,8,"NA","NA","NA",,,,,"Shrub",,,"blue, purple","Berry",
"Lycianthes geminiflora",2.75,1.5,4,100,65,135,40,30,50,"NA","NA","NA","NA","NA","NA",8,8,8,6.75,6.5,7,"NA","NA","NA",,,,,"Shrub",,,"white, yellow, green","Berry","Red, Orange"
"Lycianthes glandulosa","NA","NA","NA",100,85,115,49.25,40,57,11.5,10,13,1.5,1.5,1.5,"NA","NA","NA",10,10,10,10,10,10,,,,,"Shrub",,,"white","Berry",
"Lycianthes gorgonea","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.5,9,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,,,,,"Shrub",,,"white","Berry","Red"
"Lycianthes grandifrons","NA","NA","NA",110,100,120,51.5,45,58,15,15,15,1.25,1,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,"Herbaceous",,,,
"Lycianthes heteroclita",2,1,3,145,90,200,65,40,90,"NA","NA","NA","NA","NA","NA",8,8,8,"NA","NA","NA",10,10,10,"SC",,,"Perennial","Shrub","Woody",,"white, blue, purple","Berry","Red"
"Lycianthes hintonii",0.55,0.55,0.55,127.5,115,140,60,55,65,15,10,20,1.5,1.5,1.5,"NA","NA","NA",9.75,8.5,11,"NA","NA","NA",,"Diploid",12,,"Herb",,,"white, green",,
"Lycianthes hupehensis",1.5,1,2,85,70,100,40,30,50,"NA","NA","NA","NA","NA","NA",6,6,6,9,8,10,7,6,8,,,,,"Subshrub, Shrub",,"Simple","blue, purple","Berry","Red"
"Lycianthes hygrophila","NA","NA","NA",85,75,95,42.5,40,45,10.75,10,11.5,1,1,1,"NA","NA","NA",9,9,9,"NA","NA","NA",,,,,,"Woody base",,"light purple",,
"Lycianthes hypochrysea",0.55,0.4,0.7,90,85,95,32.5,30,35,6.25,6,6.5,1,1,1,7,7,7,7,7,7,"NA","NA","NA",,,,,,"Woody base",,,"Berry",
"Lycianthes hypoleuca","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.5,9,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,,,,,"Shrub, Vine",,,"white",,"Red"
"Lycianthes inaequilatera",1.5,1,2,173.25,120,208,49.75,35,65,"NA","NA","NA",1,1,1,4.25,4,4.5,5.75,5,6.5,5.5,5,6,,,,,"Subshrub","Woody base","Simple","white","Berry","Red"
"Lycianthes jalicensis",2,2,2,110,50,170,45,15,75,"NA","NA","NA",5,5,5,13,6,20,8.75,6.5,11,8,4,12,,"Diploid",12,,"Shrub",,"Simple","white, green","Berry","Red"
"Lycianthes japurensis","NA","NA","NA",85,80,90,40,35,45,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Shrub",,,,"Berry",
"Lycianthes jelskii","NA","NA","NA",43,30,56,25,20,30,9,9,9,"NA","NA","NA",10.5,10,11,"NA","NA","NA",8,7,9,,,,,"Shrub",,,"purple","Berry","Red"
"Lycianthes laevis",1.4,0.6,2,106.6666666667,45,200,43.1666666667,19,80,5.75,5,6,1.15,0.8,1.5,4.5833333333,4,5,6.8333333333,6,8,5.8333333333,5,7,"SC",,,"Perennial","Shrub",,"Simple","white, purple","Berry",
"Lycianthes lagunensis","NA","NA","NA",120,90,150,44.5,35,54,"NA","NA","NA",1,1,1,5,5,5,1,1,1,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes lasiophylla","NA","NA","NA",62.5,60,65,21,15,27,"NA","NA","NA",2,2,2,13,13,13,6.5,6.5,6.5,"NA","NA","NA",,,,,"Shrub",,,,"Berry",
"Lycianthes lenta",3,3,3,72,44,100,38,26,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,8,12,7.5,6,9,,,,,"Shrub",,"Simple","white, blue","Berry","Red, Orange"
"Lycianthes leptocaulis",2,2,2,69,45,98,27.5,20,38,11.75,10,12.5,1.05,1,1.2,"NA","NA","NA",4.5,4,5,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes lineata","NA","NA","NA",90,85,95,36.5,30,43,8,8,8,1.5,1.5,1.5,6,6,6,"NA","NA","NA",8.5,8,9,,,,,"Shrub",,,"white","Berry",
"Lycianthes lycioides",0.75,0.5,1,15.5,6,25,7,3,11,"NA","NA","NA","NA","NA","NA","NA","NA","NA",4.5,4,5,4,2,6,,"Diploid",12,,"Shrub",,"Simple","yellow, blue, purple","Berry","Orange"
"Lycianthes lysimachioides",1.5,1.5,1.5,51.25,30,70,41.25,20,75,9,7,11,1,1,1,9.25,8,10,8,8,8,8,8,8,,,,"Perennial","Herb","Herbaceous","Simple","white, pink, light purple","Berry","Red"
"Lycianthes lysimachioides var. caulorhiza",1.5,1.5,1.5,40,30,50,27.5,20,35,9,9,9,"NA","NA","NA",10,10,10,8,8,8,8,8,8,,,,"Perennial","Herb",,"Simple","white, pink","Berry","Red"
"Lycianthes lysimachioides var. lysimachioides",1.5,1.5,1.5,57.5,45,70,30,25,35,9,9,9,"NA","NA","NA",10,10,10,8,8,8,8,8,8,,,,"Perennial","Herb",,"Simple","white, light purple","Berry","Red"
"Lycianthes lysimachioides var. sinensis",1.5,1.5,1.5,95,60,130,57.5,40,75,9,9,9,"NA","NA","NA",10,10,10,8,8,8,8,8,8,,,,"Perennial","Herb",,"Simple","white","Berry","Red"
"Lycianthes magdalenae","NA","NA","NA",92.5,60,125,59,48,70,"NA","NA","NA",1.25,1,1.5,"NA","NA","NA",10.5,10.5,10.5,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes marlipoensis",1.5,1,2,120,100,140,52.5,40,65,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.5,6,7,,,,,"Subshrub",,"Simple",,"Berry",
"Lycianthes maxonii",1.5,1.5,1.5,110,70,150,35,20,50,"NA","NA","NA",7.5,5,10,"NA","NA","NA","NA","NA","NA",12,12,12,,,,,"Shrub",,"Simple","blue, purple","Berry","Red"
"Lycianthes medusocalyx","NA","NA","NA",192.5,155,230,75,65,85,5,5,5,1,1,1,4.25,4,4.5,4.5,4.5,4.5,"NA","NA","NA",,,,,,,,"white","Berry",
"Lycianthes moziniana",0.275,0.05,0.5,52.5,20,85,22,7,37,24.25,14.5,34,2,2,2,"NA","NA","NA",11.25,8,14.5,27.75,14,41.5,,"Diploid",12,"Perennial","Herb",,,"green, light purple, purple",,"Green"
"Lycianthes moziniana var. margaretiana",0.225,0.1,0.35,62.5,25,100,30,15,45,19.5,16,23,2,2,2,"NA","NA","NA",10.5,9,12,26,22,30,,"Diploid",12,"Perennial","Herb",,,"red, green, light purple, purple",,"White, Green, Purple/Violet/Black"
"Lycianthes moziniana var. oaxacana",0.235,0.07,0.4,50,30,70,27.5,20,35,17,11.5,22.5,2,2,2,"NA","NA","NA",10,8,12,25,22,28,,"Diploid",12,"Perennial","Herb",,,"green, light purple, purple",,
"Lycianthes multiflora","NA","NA","NA",110,90,130,51,35,67,9,8.5,9.5,1,1,1,"NA","NA","NA",8.5,8.5,8.5,7.5,5,10,,,,,"Shrub",,,"white","Berry",
"Lycianthes neesiana",1.5,1,2,110,40,180,40,30,50,"NA","NA","NA","NA","NA","NA",4.5,4,5,8,8,8,5.5,5,6,,,,,"Shrub",,"Simple","white, blue, purple","Berry","Red, Orange"
"Lycianthes nitida",1.5,1.5,1.5,140,120,160,50,35,65,"NA","NA","NA",2,2,2,9,8,10,1,1,1,7,6,8,,,,,"Shrub",,,"white, green, blue, purple","Berry","Red, Orange"
"Lycianthes parasitica",1.5,1,2,135,100,170,50,45,55,2,2,2,"NA","NA","NA",3,3,3,3,3,3,5.25,4.5,6,,,,,"Shrub",,,"white","Berry","Yellow"
"Lycianthes pauciflora",4.5,3,6,95,65,130,46.6666666667,20,70,9.875,6,15,2.125,2,2.5,"NA","NA","NA",9.3333333333,8,10.5,14.3333333333,10,20,,,,,"Shrub",,"Simple","white","Berry","Red, Orange, Yellow"
"Lycianthes peduncularis","NA","NA","NA",52.5,15,90,23.5,7,40,17.75,11,24.5,1.25,1,1.5,"NA","NA","NA",8.25,6,10.5,17.5,9,26,,"Diploid",12,"Perennial","Herb",,,"white, green, blue, light purple, purple",,"Yellow, Green, Purple/Violet/Black"
"Lycianthes pilifera","NA","NA","NA",135,120,150,42.5,35,50,16.25,15,17.5,3,3,3,"NA","NA","NA",9,9,9,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes pilosissimum","NA","NA","NA",87.5,85,90,46,46,46,"NA","NA","NA",1.5,1.5,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Lycianthes poeppigii","NA","NA","NA",85,60,110,42.5,30,55,"NA","NA","NA",1.5,1.5,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Shrub",,,,"Berry",
"Lycianthes pringlei",2,2,2,110,80,140,58.5,30,87,9.75,7,12.5,"NA","NA","NA",1.025,0.8,1.25,8,6,10,13.5,7,20,,,,,"Shrub",,,"blue, light purple, purple",,"Red"
"Lycianthes profunderugosa","NA","NA","NA",24,18,30,26.5,20,33,7.75,7.5,8,1.65,1.5,1.8,"NA","NA","NA",6,6,6,"NA","NA","NA",,,,,,"Herbaceous, Woody base",,,,
"Lycianthes purpusii","NA","NA","NA",120,105,135,56.5,50,63,16,16,16,1.5,1.5,1.5,"NA","NA","NA","NA","NA","NA",15,15,15,,,,,"Shrub",,,"white",,
"Lycianthes quichensis",1.75,1.5,2,95,85,105,47.5,40,55,17.75,16.5,19,"NA","NA","NA","NA","NA","NA","NA","NA","NA",9,9,9,,,,,"Shrub",,,,"Berry",
"Lycianthes radiata",1.5,1,2,145,100,190,50,30,70,"NA","NA","NA",7,6,8,"NA","NA","NA",6,6,6,6.75,5.5,8,,,,,"Shrub",,"Simple","white","Berry",
"Lycianthes rantonnetii",2,2,2,"NA","NA","NA","NA","NA","NA",18.75,17.5,20,"NA","NA","NA","NA","NA","NA","NA","NA","NA",27.5,20,35,"SI","Diploid",12,"Perennial","Shrub","Woody","Simple","yellow, purple",,"Red"
"Lycianthes repens","NA","NA","NA",30,20,40,34.5,24,45,7,6,8,1,1,1,"NA","NA","NA",5,5,5,8.5,8,9,,,,"Perennial",,"Herbaceous",,"light blue, blue, purple","Berry",
"Lycianthes rzedowskii",0.635,0.17,1.1,62.5,25,100,30.5,15,46,16.75,10,23.5,2,1.5,2.5,"NA","NA","NA",9,7,11,47,19,75,,"Diploid",12,"Perennial","Herb",,,"white, green, blue, purple",,"Green, Purple/Violet/Black"
"Lycianthes sanctaemarthae",8,8,8,92.5,80,105,60,40,80,"NA","NA","NA","NA","NA","NA","NA","NA","NA",11,10,12,10,8,12,,,,,"Shrub",,"Simple","white, light blue, light purple","Berry","Orange"
"Lycianthes sancticaroli",2,2,2,94,93,95,45,40,50,13.75,12.5,15,2,2,2,"NA","NA","NA",10,10,10,18,17,19,,,,,"Shrub",,,,"Berry","Red"
"Lycianthes schizocalyx",0.9,0.8,1,77.5,75,80,29,28,30,6,6,6,1,1,1,5,5,5,8,8,8,10,10,10,,,,,,"Woody base",,,"Berry",
"Lycianthes shanesii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Lycianthes shunningensis",2,1.5,2.5,115,60,170,51,28,74,7.5,7.5,7.5,"NA","NA","NA",7,7,7,"NA","NA","NA","NA","NA","NA",,,,,"Shrub",,"Simple","blue, purple",,
"Lycianthes sideroxyloides","NA","NA","NA",72.5,45,100,39,30,48,5.25,5,5.5,1.5,1.5,1.5,"NA","NA","NA",6,6,6,5,5,5,,,,,"Shrub",,,"white","Berry",
"Lycianthes sodiroi","NA","NA","NA",105,95,115,33.5,27,40,9,9,9,1,1,1,8,8,8,3.5,3.5,3.5,"NA","NA","NA",,,,,,,,,"Berry",
"Lycianthes solitaria","NA","NA","NA",25,15,35,17.5,10,25,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.5,7,8,,,,,"Herb, Subshrub",,"Simple",,"Berry","Red"
"Lycianthes somniculenta","NA","NA","NA",56.5,50,63,34.5,30,39,16.75,15,18.5,2,2,2,"NA","NA","NA",10,10,10,"NA","NA","NA",,,,,,"Herbaceous",,"blue, purple",,
"Lycianthes sprucei","NA","NA","NA",97.5,80,115,37.5,30,45,"NA","NA","NA","NA","NA","NA","NA","NA","NA",11.5,11.5,11.5,"NA","NA","NA",,,,,"Shrub",,,,,
"Lycianthes starbuckii",0.15,0.15,0.15,45,30,60,21.25,12.5,30,14.75,10.5,19,1.75,1.5,2,"NA","NA","NA",8.5,7,10,14.5,7,22,,"Diploid",12,"Perennial",,"Herbaceous",,"green, blue, light purple, purple",,"Purple/Violet/Black"
"Lycianthes stellata",2.25,1.5,3,70,40,100,32.5,20,45,"NA","NA","NA","NA","NA","NA","NA","NA","NA",9,9,9,6.5,6,7,,,,,"Shrub",,,"white, green, blue, purple","Berry","Orange"
"Lycianthes stellatipubescens","NA","NA","NA",82.5,80,85,44,43,45,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",18,16,20,,,,,"Shrub",,,,"Berry",
"Lycianthes stenoloba",4,4,4,115,90,140,47.5,30,65,"NA","NA","NA","NA","NA","NA","NA","NA","NA",6.5,5,8,8.5,8,9,,,,,"Subshrub",,"Simple","white","Berry","Orange"
"Lycianthes stephanocalyx",1.25,0.5,2,90,80,100,30,20,40,10,10,10,"NA","NA","NA",7,7,7,9,9,9,"NA","NA","NA",,,,,"Herb, Shrub",,,"white, light purple","Berry","Orange"
"Lycianthes synanthera",2,2,2,125,50,200,57.5,30,85,"NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA",7,7,7,,,,,"Shrub, Tree",,"Simple","purple","Berry",
"Lycianthes tricolor",1.25,1,1.5,82.5,75,90,42.5,35,50,12.25,10,14.5,2,2,2,"NA","NA","NA",8,8,8,6,5,7,,,,,"Shrub",,,"white","Berry","Red"
"Lycianthes virgata",3.25,1.5,5,107.5,75,140,54,39,69,12.5,12.5,12.5,"NA","NA","NA","NA","NA","NA",8.25,8,8.5,7,6,8,,,,,"Shrub",,,"blue, purple","Berry",
"Lycianthes yunnanensis",1,1,1,140,80,200,50,30,70,"NA","NA","NA","NA","NA","NA",6.5,6,7,7,6,8,10,8,12,,,,,"Shrub",,"Simple","purple","Berry","Red, Purple/Violet/Black"
"Lycium acutifolium",1.75,0.5,3,16.5,10,23,5,3,7,"NA","NA","NA",7.5,7,8,2.75,2.5,3,9.5,9,10,7,6,8,,"Diploid",12,,"Shrub",,,"white, cream, blue, purple","Berry",
